AgNP-MCF7,Name,Size (nm),Zeta Potential (mV),Polydispersity Index,Hydrodynamic Diameter,Dosage (µg/mL) [Max values considered if range as smaller concn's usually see less toxicity],ICAM1,HRAS,Cytotoxicity,MYC,MAP2K3,Oxidative Stress,ATR,CCNA2,CCNB2,CDC16,CDC25C,CUL1,GADD45A,MCM2,MYC,RAD17,RAD50,SUMO1,TGFB2,Cell Cycle Arrest,APC,APEX1,BBC3,BCL2L11,CDH1,CYCS,MAP2K3,OCLN,TNFRSF1A,TRAF2,Apoptosis,Cell Division,Protein-DNA Complex,CYCS,TNFRSF1A,TRAF2,Caspase Pathway,REV1,RAD50,DNA Damage,TRAF2,CCNA2,GSTP1,HRAS,SRC,Proliferation and carcinogenesis,COL6A1,Inflammation,BAG1,ATR,Heat Shock,Reference
1=Tested and Observed Effect,ENP1,31.4,-33.8,0.4,,60,-0.019037584,1.227209138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6267361/
0=Not Obsevred or Not Tested Effect,ENP2,20.3,,,40,25,-0.019037584,1.227209138,1,0.24638852,0.497129937,1,-0.93817914,-0.225749944,-1.000676,-0.5913327,-0.51245845,0.417030221,0.226418402,0.255451043,0.24638852,0.526768766,1.097004512,0.710197454,-0.840308076,1,-0.513041772,1.347754586,1.781071452,0.378047637,3.535352963,-1.566541158,0.497129937,3.839202281,-0.477828712,-0.30030238,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.tandfonline.com/doi/full/10.1080/17435390.2016.1225132
,ENP3,34.4,,,43,25,-0.019037584,1.227209138,1,0.24638852,0.497129937,1,-0.93817914,-0.225749944,-1.000676,-0.5913327,-0.51245845,0.417030221,0.226418402,0.255451043,0.24638852,0.526768766,1.097004512,0.710197454,-0.840308076,1,-0.513041772,1.347754586,1.781071452,0.378047637,3.535352963,-1.566541158,0.497129937,3.839202281,-0.477828712,-0.30030238,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.tandfonline.com/doi/full/10.1080/17435390.2016.1225132
,ENP4,61.2,,,88,25,-0.019037584,1.227209138,1,0.24638852,0.497129937,1,-0.93817914,-0.225749944,-1.000676,-0.5913327,-0.51245845,0.417030221,0.226418402,0.255451043,0.24638852,0.526768766,1.097004512,0.710197454,-0.840308076,1,-0.513041772,1.347754586,1.781071452,0.378047637,3.535352963,-1.566541158,0.497129937,3.839202281,-0.477828712,-0.30030238,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.tandfonline.com/doi/full/10.1080/17435390.2016.1225132
,ENP5,112.6,,,135,25,-0.019037584,1.227209138,1,0.24638852,0.497129937,1,-0.93817914,-0.225749944,-1.000676,-0.5913327,-0.51245845,0.417030221,0.226418402,0.255451043,0.24638852,0.526768766,1.097004512,0.710197454,-0.840308076,1,-0.513041772,1.347754586,1.781071452,0.378047637,3.535352963,-1.566541158,0.497129937,3.839202281,-0.477828712,-0.30030238,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.tandfonline.com/doi/full/10.1080/17435390.2016.1225132
,ENP6,,,,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.513041772,1.347754586,1.781071452,0.378047637,3.535352963,-1.566541158,0.497129937,3.839202281,-0.477828712,-0.30030238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://jmhg.springeropen.com/articles/10.1186/s43042-020-00120-1
,ENP7,51,-32.2,,,66.34,-0.019037584,1.227209138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.513041772,1.347754586,1.781071452,0.378047637,3.535352963,-1.566541158,0.497129937,3.839202281,-0.477828712,-0.30030238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sciencedirect.com/science/article/pii/S2215017X15000582
,ENP8,38.9,,,,10.7,-0.019037584,1.227209138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hindawi.com/journals/jnt/2018/9689131/
,ENP9,41.1,,,,10.7,-0.019037584,1.227209138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hindawi.com/journals/jnt/2018/9689131/
,ENP10,,,,,25,-0.019037584,1.227209138,1,0.24638852,0.497129937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.phcog.com/article.asp?issn=0973-1296;year=2019;volume=15;issue=60;spage=66;epage=72;aulast=Mameneh
,ENP11,,,,,50,-0.019037584,1.227209138,1,0.24638852,0.497129937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.phcog.com/article.asp?issn=0973-1296;year=2019;volume=15;issue=60;spage=66;epage=72;aulast=Mameneh
,ENP12,,,,,100,-0.019037584,1.227209138,1,0.24638852,0.497129937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.phcog.com/article.asp?issn=0973-1296;year=2019;volume=15;issue=60;spage=66;epage=72;aulast=Mameneh
,ENP13,15,,,,,-0.019037584,1.227209138,1,0.24638852,0.497129937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.513041772,1.347754586,1.781071452,0.378047637,3.535352963,-1.566541158,0.497129937,3.839202281,-0.477828712,-0.30030238,1,0,0,-1.566541158,-0.477828712,-0.30030238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.mdpi.com/1999-4923/13/5/707/pdf
,ENP14,23,-42.1,,,0.5,-0.019037584,1.227209138,1,0.24638852,0.497129937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.513041772,1.347754586,1.781071452,0.378047637,3.535352963,-1.566541158,0.497129937,3.839202281,-0.477828712,-0.30030238,1,0,0,0,0,0,0,-0.479702695,1.097004512,1,-0.30030238,-0.225749944,-0.454504336,1.227209138,-0.026130512,1,-2.881060552,1,-0.517493389,-0.93817914,1,https://faculty.ksu.edu.sa/sites/default/files/18_4.pdf
,ENP15,23,-42.1,,,1,-0.019037584,1.227209138,1,0.24638852,0.497129937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.513041772,1.347754586,1.781071452,0.378047637,3.535352963,-1.566541158,0.497129937,3.839202281,-0.477828712,-0.30030238,1,0,0,0,0,0,0,-0.479702695,1.097004512,1,-0.30030238,-0.225749944,-0.454504336,1.227209138,-0.026130512,1,-2.881060552,1,-0.517493389,-0.93817914,1,https://faculty.ksu.edu.sa/sites/default/files/18_4.pdf
,ENP16,23,-42.1,,,2,-0.019037584,1.227209138,1,0.24638852,0.497129937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.513041772,1.347754586,1.781071452,0.378047637,3.535352963,-1.566541158,0.497129937,3.839202281,-0.477828712,-0.30030238,1,0,0,0,0,0,0,-0.479702695,1.097004512,1,-0.30030238,-0.225749944,-0.454504336,1.227209138,-0.026130512,1,-2.881060552,1,-0.517493389,-0.93817914,1,https://faculty.ksu.edu.sa/sites/default/files/18_4.pdf
,ENP17,23,-42.1,,,5,-0.019037584,1.227209138,1,0.24638852,0.497129937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.513041772,1.347754586,1.781071452,0.378047637,3.535352963,-1.566541158,0.497129937,3.839202281,-0.477828712,-0.30030238,1,0,0,0,0,0,0,-0.479702695,1.097004512,1,-0.30030238,-0.225749944,-0.454504336,1.227209138,-0.026130512,1,-2.881060552,1,-0.517493389,-0.93817914,1,https://faculty.ksu.edu.sa/sites/default/files/18_4.pdf
,ENP18,23,-42.1,,,10,-0.019037584,1.227209138,1,0.24638852,0.497129937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.513041772,1.347754586,1.781071452,0.378047637,3.535352963,-1.566541158,0.497129937,3.839202281,-0.477828712,-0.30030238,1,0,0,0,0,0,0,-0.479702695,1.097004512,1,-0.30030238,-0.225749944,-0.454504336,1.227209138,-0.026130512,1,-2.881060552,1,-0.517493389,-0.93817914,1,https://faculty.ksu.edu.sa/sites/default/files/18_4.pdf
